attendance_id,employee_id,attendance_date,status
68,100,2025-05-04,Present
69,17,2025-03-11,Absent
70,88,2025-04-17,Present
71,53,2025-05-11,Present
72,85,2025-01-05,Present
73,71,2025-01-08,Present
74,31,2025-02-26,Absent
75,49,2025-05-12,Present
76,21,2025-06-13,Absent
77,8,2025-03-31,Absent
78,35,2025-05-22,Present
79,83,2025-05-24,Absent
80,12,2025-04-19,Absent
81,19,2025-05-26,Present
82,89,2025-01-07,Present
83,1,2025-01-04,Absent
84,60,2025-04-16,Present
85,35,2025-05-18,Absent
86,16,2025-05-13,Absent
87,4,2025-05-15,Absent
88,52,2025-02-06,Present
89,41,2025-06-08,Present
90,39,2025-04-27,Absent
91,29,2025-02-09,Absent
92,2,2025-06-10,Present
93,46,2025-04-21,Absent
94,9,2025-05-27,Present
95,30,2025-03-26,Absent
96,100,2025-02-10,Present
97,17,2025-02-05,Present
98,37,2025-03-26,Present
99,95,2025-05-23,Absent
100,76,2025-01-26,Present
101,69,2025-04-25,Present
102,40,2025-01-06,Present
103,76,2025-01-11,Absent
104,94,2025-04-22,Absent
105,82,2025-01-23,Present
106,42,2025-04-20,Present
107,53,2025-01-09,Present
108,30,2025-04-05,Present
109,34,2025-02-18,Present
110,6,2025-01-16,Present
111,96,2025-01-22,Absent
112,23,2025-03-02,Absent
113,35,2025-01-04,Present
114,56,2025-04-15,Absent
115,62,2025-03-18,Present
116,98,2025-06-17,Present
117,21,2025-03-21,Present
118,43,2025-04-15,Present
119,45,2025-05-08,Absent
120,18,2025-05-27,Absent
121,76,2025-01-09,Present
122,48,2025-02-27,Absent
123,27,2025-03-27,Present
124,93,2025-04-08,Present
125,9,2025-03-06,Absent
126,22,2025-01-12,Present
127,54,2025-06-05,Present
128,80,2025-05-10,Present
129,11,2025-06-29,Present
130,59,2025-06-16,Present
131,84,2025-06-14,Absent
132,92,2025-01-27,Present
133,69,2025-04-24,Present
134,72,2025-02-16,Absent
135,74,2025-05-14,Absent
136,11,2025-03-26,Absent
137,42,2025-03-13,Present
138,22,2025-06-27,Present
139,50,2025-02-27,Absent
140,7,2025-01-11,Absent
141,35,2025-03-06,Present
142,65,2025-01-21,Absent
143,58,2025-04-24,Present
144,72,2025-06-26,Present
145,39,2025-03-03,Present
146,4,2025-04-28,Present
147,68,2025-05-18,Present
148,90,2025-05-08,Present
149,96,2025-04-10,Absent
150,77,2025-01-31,Absent
151,2,2025-01-31,Absent
152,89,2025-01-19,Absent
153,83,2025-01-27,Present
154,8,2025-03-14,Present
155,1,2025-03-26,Absent
156,20,2025-06-02,Present
157,84,2025-03-27,Present
158,49,2025-04-22,Absent
159,21,2025-02-05,Absent
160,3,2025-05-01,Absent
161,28,2025-05-27,Present
162,18,2025-01-06,Absent
163,61,2025-05-15,Absent
164,2,2025-02-25,Present
165,33,2025-01-21,Absent
166,93,2025-05-23,Absent
167,47,2025-04-28,Present
168,49,2025-02-13,Present
169,19,2025-06-08,Absent
170,84,2025-04-20,Absent
171,37,2025-06-09,Present
172,18,2025-04-21,Present
173,78,2025-05-04,Absent
174,70,2025-06-30,Absent
175,39,2025-06-29,Present
176,68,2025-04-03,Present
177,100,2025-04-04,Absent
178,93,2025-05-09,Absent
179,77,2025-06-21,Present
180,29,2025-04-28,Present
181,10,2025-04-06,Present
182,9,2025-06-01,Present
183,40,2025-02-01,Absent
184,41,2025-05-05,Present
185,37,2025-05-10,Absent
186,97,2025-02-17,Absent
187,28,2025-01-29,Absent
188,57,2025-01-03,Absent
189,16,2025-01-17,Present
190,49,2025-03-05,Present
191,69,2025-05-31,Present
192,94,2025-01-01,Present
193,85,2025-05-13,Absent
194,44,2025-04-06,Present
195,58,2025-03-11,Present
196,22,2025-06-04,Absent
197,84,2025-03-13,Absent
198,53,2025-05-06,Absent
199,87,2025-01-13,Absent
200,3,2025-06-19,Present
201,57,2025-01-05,Absent
202,66,2025-05-30,Present
203,90,2025-03-06,Present
204,79,2025-04-23,Present
205,45,2025-01-25,Absent
206,46,2025-05-13,Absent
207,39,2025-05-06,Present
208,37,2025-04-19,Present
209,100,2025-04-27,Absent
210,12,2025-01-27,Absent
211,6,2025-02-10,Present
212,82,2025-04-26,Absent
213,50,2025-06-05,Present
214,88,2025-01-09,Absent
215,59,2025-05-13,Absent
216,96,2025-06-03,Present
217,37,2025-04-05,Absent
218,91,2025-06-28,Absent
219,46,2025-06-08,Present
220,14,2025-03-02,Absent
221,45,2025-02-26,Present
222,71,2025-01-29,Absent
223,93,2025-02-21,Absent
224,31,2025-05-29,Present
225,71,2025-04-19,Present
226,99,2025-01-07,Absent
227,6,2025-04-23,Absent
228,23,2025-04-16,Absent
229,31,2025-01-16,Absent
230,100,2025-06-29,Absent
231,100,2025-06-01,Present
232,84,2025-03-05,Absent
233,82,2025-01-17,Present
234,90,2025-05-05,Present
235,45,2025-01-21,Present
236,19,2025-03-11,Present
237,66,2025-05-13,Present
238,63,2025-01-17,Present
239,94,2025-06-26,Present
240,45,2025-03-26,Present
241,28,2025-01-22,Present
242,90,2025-05-27,Absent
243,52,2025-04-26,Present
244,48,2025-03-21,Absent
245,41,2025-04-07,Present
246,54,2025-04-16,Absent
247,72,2025-02-02,Present
248,30,2025-02-02,Present
249,2,2025-03-10,Absent
250,52,2025-01-15,Absent
251,40,2025-01-10,Absent
252,49,2025-05-19,Present
253,97,2025-04-21,Present
254,59,2025-02-11,Present
255,57,2025-05-14,Present
256,58,2025-01-03,Absent
257,62,2025-02-19,Present
258,16,2025-05-28,Present
259,74,2025-05-17,Absent
260,13,2025-02-08,Absent
261,34,2025-06-22,Absent
262,38,2025-03-18,Absent
263,37,2025-02-07,Present
264,55,2025-02-25,Absent
265,48,2025-02-16,Present
266,42,2025-01-19,Absent
267,91,2025-03-07,Present
268,28,2025-01-01,Absent
269,95,2025-04-23,Absent
270,59,2025-02-06,Absent
271,3,2025-04-17,Absent
272,46,2025-01-03,Present
273,67,2025-05-30,Absent
274,20,2025-02-07,Absent
275,71,2025-02-27,Present
276,74,2025-05-21,Absent
277,70,2025-05-12,Present
278,36,2025-03-14,Absent
279,3,2025-02-06,Present
280,99,2025-01-25,Present
281,44,2025-05-04,Present
282,56,2025-02-22,Present
283,76,2025-01-25,Present
284,63,2025-02-01,Present
285,95,2025-01-20,Absent
286,40,2025-03-29,Present
287,29,2025-01-26,Present
288,26,2025-02-06,Absent
289,60,2025-05-17,Absent
290,87,2025-02-28,Absent
291,47,2025-04-23,Absent
292,87,2025-02-03,Present
293,30,2025-05-04,Present
294,24,2025-02-07,Absent
295,91,2025-02-20,Present
296,14,2025-02-22,Present
297,1,2025-06-10,Present
298,34,2025-04-14,Absent
299,94,2025-05-13,Present
300,56,2025-04-21,Present
301,37,2025-06-13,Absent
302,56,2025-03-14,Absent
303,80,2025-03-17,Absent
304,74,2025-02-20,Absent
305,53,2025-03-09,Absent
306,10,2025-03-08,Absent
307,50,2025-01-28,Present
308,18,2025-06-07,Absent
309,58,2025-04-04,Absent
310,23,2025-03-29,Present
311,12,2025-04-19,Present
312,73,2025-03-20,Present
313,52,2025-06-22,Present
314,41,2025-04-07,Absent
315,18,2025-02-19,Present
316,31,2025-05-07,Present
317,60,2025-05-27,Absent
318,36,2025-06-21,Present
319,63,2025-04-29,Absent
320,51,2025-06-25,Present
321,20,2025-02-15,Absent
322,81,2025-05-19,Present
323,31,2025-01-31,Absent
324,91,2025-04-26,Present
325,81,2025-03-25,Absent
326,67,2025-04-05,Present
327,19,2025-06-08,Absent
328,75,2025-01-08,Present
329,97,2025-05-09,Present
330,11,2025-04-05,Absent
331,14,2025-01-12,Absent
332,18,2025-01-22,Absent
333,37,2025-02-24,Absent
334,57,2025-05-30,Absent
335,86,2025-04-01,Present
336,18,2025-04-12,Present
337,89,2025-01-15,Present
338,38,2025-04-04,Present
339,70,2025-03-27,Absent
340,85,2025-01-18,Present
341,18,2025-02-18,Present
342,25,2025-06-25,Present
343,68,2025-01-19,Present
344,17,2025-02-07,Present
345,43,2025-06-05,Absent
346,84,2025-06-22,Absent
347,98,2025-04-18,Present
348,93,2025-04-18,Present
349,21,2025-04-27,Absent
350,1,2025-04-13,Present
351,95,2025-01-03,Absent
352,37,2025-05-10,Absent
353,18,2025-02-20,Present
354,52,2025-05-29,Present
355,56,2025-01-25,Absent
356,10,2025-04-05,Absent
357,44,2025-05-30,Present
358,31,2025-06-09,Present
359,90,2025-05-01,Absent
360,25,2025-06-28,Present
361,56,2025-06-22,Absent
362,52,2025-01-21,Present
363,37,2025-02-17,Absent
364,47,2025-04-19,Present
365,97,2025-01-04,Present
366,73,2025-06-20,Absent
367,16,2025-05-01,Present
368,46,2025-01-04,Present
369,47,2025-05-04,Absent
370,47,2025-04-28,Present
371,24,2025-06-27,Absent
372,61,2025-02-25,Present
373,64,2025-03-19,Present
374,73,2025-05-23,Present
375,37,2025-01-07,Present
376,5,2025-01-20,Absent
377,12,2025-06-04,Present
378,43,2025-06-14,Absent
379,94,2025-05-08,Absent
380,87,2025-06-19,Absent
381,76,2025-06-17,Present
382,13,2025-01-21,Absent
383,59,2025-06-07,Present
384,95,2025-01-31,Present
385,90,2025-02-25,Present
386,77,2025-03-05,Present
387,36,2025-04-19,Absent
388,73,2025-02-11,Absent
389,43,2025-02-11,Present
390,11,2025-05-27,Present
391,20,2025-05-18,Absent
392,23,2025-01-09,Absent
393,38,2025-04-17,Present
394,24,2025-01-23,Absent
395,39,2025-01-31,Absent
396,36,2025-05-31,Present
397,7,2025-01-25,Absent
398,34,2025-06-21,Absent
399,82,2025-02-06,Present
400,32,2025-01-31,Present
401,68,2025-02-28,Present
402,27,2025-05-08,Absent
403,63,2025-01-30,Absent
404,44,2025-06-15,Absent
405,46,2025-01-03,Present
406,61,2025-02-14,Absent
407,81,2025-01-26,Present
408,81,2025-03-01,Absent
409,75,2025-01-14,Absent
410,64,2025-03-02,Present
411,89,2025-05-25,Absent
412,81,2025-02-28,Absent
413,32,2025-03-17,Present
414,41,2025-02-26,Present
415,31,2025-03-21,Present
416,45,2025-05-21,Present
417,54,2025-04-07,Present
418,63,2025-04-15,Absent
419,39,2025-02-05,Absent
420,77,2025-04-07,Present
421,8,2025-01-01,Absent
422,35,2025-01-08,Present
423,84,2025-04-05,Absent
424,91,2025-04-02,Absent
425,16,2025-02-04,Absent
426,27,2025-05-07,Absent
427,83,2025-03-08,Absent
428,68,2025-05-16,Absent
429,32,2025-02-06,Present
430,59,2025-01-28,Present
431,18,2025-04-04,Absent
432,47,2025-05-16,Absent
433,2,2025-02-17,Present
434,10,2025-01-23,Absent
435,17,2025-03-23,Present
436,14,2025-03-23,Present
437,75,2025-05-31,Present
438,60,2025-02-14,Absent
439,5,2025-06-17,Absent
440,72,2025-06-20,Absent
441,5,2025-01-17,Present
442,33,2025-01-21,Absent
443,6,2025-05-18,Present
444,39,2025-01-13,Present
445,41,2025-03-08,Present
446,80,2025-03-29,Present
447,49,2025-03-26,Present
448,34,2025-03-31,Absent
449,28,2025-03-05,Present
450,41,2025-03-19,Absent
451,16,2025-04-16,Present
452,44,2025-06-01,Present
453,46,2025-04-28,Present
454,78,2025-06-11,Present
455,46,2025-03-01,Absent
456,71,2025-03-25,Present
457,14,2025-03-05,Present
458,3,2025-01-23,Absent
459,6,2025-03-17,Present
460,25,2025-06-22,Absent
461,53,2025-06-11,Present
462,61,2025-04-24,Present
463,3,2025-04-30,Absent
464,93,2025-05-17,Present
465,82,2025-06-02,Present
466,2,2025-02-09,Absent
467,59,2025-05-24,Present
468,32,2025-06-22,Absent
469,65,2025-05-03,Present
470,59,2025-06-21,Absent
471,19,2025-01-24,Absent
472,77,2025-04-10,Present
473,31,2025-03-12,Absent
474,45,2025-02-07,Absent
475,51,2025-06-11,Present
476,55,2025-03-07,Present
477,18,2025-01-29,Present
478,17,2025-01-16,Present
479,25,2025-05-31,Absent
480,78,2025-05-09,Present
481,25,2025-05-29,Absent
482,94,2025-05-18,Present
483,34,2025-02-10,Absent
484,22,2025-06-11,Present
485,25,2025-05-05,Present
486,61,2025-03-09,Absent
487,38,2025-06-20,Present
488,20,2025-02-15,Present
489,12,2025-02-19,Present
490,36,2025-03-14,Absent
491,70,2025-05-03,Present
492,9,2025-06-30,Absent
493,4,2025-03-27,Present
494,18,2025-05-17,Absent
495,48,2025-05-13,Present
496,40,2025-01-01,Present
497,69,2025-01-28,Present
498,2,2025-01-07,Absent
499,95,2025-03-17,Absent
500,84,2025-02-08,Present
